LON,LAT
1.021370401810859,37.020817803629889
11.002306331460364,36.988280115187678
11.034844019902579,34.987212275991439
10.026175678193908,34.989245881519082
10.038377311359739,34.004980806142072
10.998239120405087,33.992779172976242
11.042978442013133,33.016648519709790
15.004442009852825,33.028850152875620
15.024778065129210,32.024249022222229
16.009043140506218,32.007980178001119
16.037513617893158,31.027782313679388
19.030980954576950,31.039983946845219
19.055384220908618,30.063853293578759
19.982708341511746,30.063853293578759
19.966439497290636,33.073589474483668
23.000578944527206,33.049186208152001
27.035252311361880,32.024249022222222
27.075924421914650,31.072521635287426
35.031389246036255,31.015580680513551
35.006985979704595,29.006378419206762
34.030855326438136,28.973840730764550
34.030855326438093,26.021045504633570
34.998851557593994,26.004776660412464
35.027322034980926,23.031645379005052
42.978719648047246,12.973432439305288
50.608807587746725,12.176259072471012
49.144611607847096,5.017967615183666
44.068732210861526,0.918218871464553
39.936445778700197,-4.027509771752154
40.001521155584641,-8.908163038084428
48.981923165636019,-11.836554997883795
50.120742261113548,-12.096856505421513
50.088204572671344,-16.977509771753788
49.144611607847096,-21.174871580799547
47.940717135485144,-24.005650475272269
47.029661859103115,-25.014318816980939
46.118606582721085,-26.022987158689610
44.914712110359133,-25.925374093362962
44.882174421916915,-25.046856505423150
44.036194522419322,-24.851630374769861
44.003656833977104,-23.062057510448028
35.072061356589039,-24.965512284317615
32.973380452066159,-27.910173088338087
32.013518643020817,-29.032723339594511
31.086194522417681,-30.952446957685208
30.044988492266796,-31.977384143614984
28.971244773673696,-33.034859017986975
26.953908090256355,-33.994720827032324
20.055918140506751,-34.067930626027305
20.064052562617302,-35.011523590851546
18.990308844024202,-35.084733389846534
18.941502311360878,-34.043527359695645
17.038047537491295,-31.033791178790743
14.988173165631739,-28.040323842106947
12.970836482214400,-21.004048716477914
12.002840251058499,-19.019249721502788
12.006907462113784,-13.988109646125276
12.970836482214400,-9.957503490345871
11.913361607842418,-6.964036153662078
9.033776180706367,-2.002038666224267
8.025107838997712,4.017433695585542
0.085911859097211,5.009833193073106
-7.918359497687718,4.017433695585536
-12.050645929849045,7.108514097595980
-17.093987638392399,11.924091987043823
-17.159063015276828,16.023840730762934
-17.061449949950180,21.685398519708379
-14.019176080603064,27.119192489558309
-10.017040402210608,31.983576911669473
-5.526839397184920,36.018250278504155
